outcome,scenario,theta_true,method,R,decision,decision_mcse,coverage,coverage_mcse,bias,rmse,mean_M,mean_rhat
continuous,I,0.0,ps_uip_c,1000,0.048,0.006759881655768835,0.933,0.007906389820898028,-0.003315054187074777,0.1365340313320176,133.19405955853765,
continuous,I,0.0,standard_uip,1000,0.039,0.006122009474020765,0.948,0.007021111023192843,-0.002190119660458273,0.10778631017916164,300.0,
continuous,I,0.4,no_borrowing,1000,0.791,0.012857643641040918,0.942,0.007391616873188169,-0.0024399999990008994,0.16201464331695042,0.0,
continuous,I,0.4,pooling,1000,0.981,0.004317290817167639,0.94,0.007509993342207438,0.0023728768463237983,0.10688216896160778,300.0,
continuous,I,0.4,ps_power_prior,1000,0.937,0.007683163410991592,0.958,0.006343185319695463,0.0009672521918522598,0.12005747529616105,60.0,
continuous,I,0.4,ps_uip_c,1000,0.924,0.008379976133617564,0.921,0.008529888627643386,0.001385895785999129,0.13885282600972182,135.44820397360033,
continuous,I,0.4,standard_uip,1000,0.971,0.005306505441436956,0.931,0.008014923580421711,0.0017649365426182931,0.11230850483093738,300.0,
continuous,R1,0.0,no_borrowing,1000,0.05,0.006892024376045111,0.946,0.0071473071852271785,-0.0009595524716047858,0.160278564535009,0.0,
continuous,R1,0.0,pooling,1000,0.063,0.007683163410991596,0.945,0.007209368904418752,0.0209463467985263,0.12116643179659346,300.0,
continuous,R1,0.0,ps_power_prior,1000,0.135,0.010806248192596726,0.853,0.011197812286335219,0.031080819480470128,0.16469276577367226,56.11449884883495,
continuous,R1,0.0,ps_uip_c,1000,0.074,0.00827792244467173,0.908,0.009139803061335619,0.0025233237667374674,0.15328334374782052,36.01372587606474,
continuous,R1,0.0,standard_uip,1000,0.148,0.011229247525992114,0.892,0.009815090422405694,0.07665032296504216,0.14990951722202706,300.0,
continuous,R1,0.4,no_borrowing,1000,0.777,0.013163244280951409,0.931,0.008014923580421711,-0.011639895991474723,0.16794884521030246,0.0,
continuous,R1,0.4,pooling,1000,0.957,0.006414904519944161,0.951,0.006826346021115546,0.01736880901167352,0.12425323799676669,300.0,
continuous,R1,0.4,ps_power_prior,1000,0.923,0.008430361795320529,0.857,0.011070275515993268,0.025240596565054223,0.1628674213591995,55.89607884043711,
continuous,R1,0.4,ps_uip_c,1000,0.869,0.010669536072388528,0.902,0.009401914698613255,-0.006588683277059901,0.15944777052481807,35.49683294826529,
continuous,R1,0.4,standard_uip,1000,0.978,0.004638534251247911,0.909,0.009094998625618366,0.0678890607175222,0.14840432124978414,300.0,
continuous,R2,0.0,no_borrowing,1000,0.048,0.006759881655768835,0.948,0.007021111023192843,0.001026023720382795,0.15791521190244318,0.0,
continuous,R2,0.0,pooling,1000,0.072,0.008174105455644672,0.936,0.007739767438366605,0.031719251332418,0.12617449005282372,300.0,
continuous,R2,0.0,ps_power_prior,1000,0.148,0.011229247525992114,0.856,0.011102432165971564,0.0389604728163218,0.17076032955438727,54.04299575279779,
continuous,R2,0.0,ps_uip_c,1000,0.074,0.00827792244467173,0.928,0.00817410545564467,0.005150184329205051,0.151398935567912,37.863629457377726,
continuous,R2,0.0,standard_uip,1000,0.172,0.011933817494833746,0.881,0.010239091756596383,0.08611985887550447,0.1562499935043396,300.0,
continuous,R2,0.4,no_borrowing,1000,0.784,0.013013224043256921,0.956,0.006485676526007139,-0.0008631817495306129,0.1609289318072287,0.0,
continuous,R2,0.4,pooling,1000,0.965,0.005811626278418119,0.95,0.006892024376045114,0.02408935119399365,0.12639464072658316,300.0,
continuous,R2,0.4,ps_power_prior,1000,0.926,0.008277922444671728,0.873,0.010529529904036551,0.03358994170882741,0.16421507868154595,53.87300245080066,
continuous,R2,0.4,ps_uip_c,1000,0.865,0.010806248192596726,0.928,0.00817410545564467,0.0015273133576169642,0.15049313391342625,37.41031687127647,
continuous,R2,0.4,standard_uip,1000,0.981,0.004317290817167639,0.897,0.009612023720320294,0.07810948385940694,0.14976054828986585,300.0,
continuous,S1,0.0,no_borrowing,1000,0.049,0.006826346021115542,0.94,0.007509993342207438,-0.0006382678300767281,0.16202195658078344,0.0,
continuous,S1,0.0,pooling,1000,0.0,0.0,0.001,0.0009994998749374609,-0.5272524693312333,0.5381359024933094,300.0,
continuous,S1,0.0,ps_power_prior,1000,0.0,0.0,0.228,0.013267102170406317,-0.34819630779845134,0.3690030201289649,60.0,
continuous,S1,0.0,ps_uip_c,1000,0.047,0.006692607862410586,0.942,0.007391616873188169,-0.0004548598315934886,0.16259692505005952,0.23270385731582857,
continuous,S1,0.0,standard_uip,1000,0.0,0.0,0.003,0.001729450779872038,-0.526023133253449,0.5383122157254002,300.0,
continuous,S1,0.4,no_borrowing,1000,0.787,0.012947239087929132,0.962,0.006046155803483734,0.002585381547392798,0.15615317599128525,0.0,
continuous,S1,0.4,pooling,1000,0.001,0.0009994998749374609,0.001,0.0009994998749374609,-0.5271198657394737,0.5374350142296382,300.0,
continuous,S1,0.4,ps_power_prior,1000,0.074,0.00827792244467173,0.229,0.013287550564344055,-0.3458818817176216,0.36476373141801127,60.0,
continuous,S1,0.4,ps_uip_c,1000,0.792,0.012834952278836098,0.959,0.006270486424512857,0.002310032511450413,0.15709676994145427,0.20654990362830947,
continuous,S1,0.4,standard_uip,1000,0.003,0.001729450779872038,0.004,0.001995995991979944,-0.5217095663001643,0.5332543548424399,300.0,
continuous,S2,0.0,no_borrowing,1000,0.054,0.007147307185227175,0.948,0.007021111023192843,0.01012583572259222,0.1596140837815444,0.0,
continuous,S2,0.0,pooling,1000,0.859,0.011005407761641547,0.218,0.0130566458173606,0.3954815686382895,0.41932964503118625,300.0,
continuous,S2,0.0,ps_power_prior,1000,0.525,0.015791611697353755,0.555,0.01571543826942157,0.2580401792275872,0.3489128895706017,27.082362064930127,
