outcome,scenario,theta_true,setting,R,decision,decision_mcse,rmse,bias,mean_M
continuous,S2,0.4,no_borrowing,1000,0.875,0.010458250331675944,0.1424452098228699,0.000954489228792111,0.0
continuous,S3,0.0,c0.5,1000,0.046,0.006624499981130651,0.14452681761795094,-0.002414092012949644,0.1295175660316209
continuous,S3,0.0,c2.0,1000,0.047,0.006692607862410586,0.14369061717695153,-0.0019505020331481303,0.16436913173892118
continuous,S3,0.0,default,1000,0.045,0.0065555320150236475,0.1444238709019124,-0.0025782682306191933,0.15013602358078956
continuous,S3,0.0,invT,1000,0.09,0.009049861877399014,0.15126993195492913,0.03890948619994035,7.239885226979123
continuous,S3,0.0,no_borrowing,1000,0.051,0.00695693898205238,0.14410220881139765,-0.002305959536659841,0.0
continuous,S3,0.4,c0.5,1000,0.874,0.010493998284733994,0.1424355767278523,0.0007644282000507587,0.01853275000800017
continuous,S3,0.4,c2.0,1000,0.868,0.010704017937204702,0.14262105986406906,0.000714848929128837,0.08305802443490211
continuous,S3,0.4,default,1000,0.873,0.010529529904036551,0.14244445070523898,0.0007091059939582102,0.030555339324327056
continuous,S3,0.4,invT,1000,0.925,0.00832916562447884,0.1508974848635435,0.04273203698822768,7.326618684849478
continuous,S3,0.4,no_borrowing,1000,0.877,0.010386096475577337,0.1422907240806436,0.00048143055803770164,0.0
