outcome,scenario,theta_true,method,R,decision,decision_mcse,coverage,coverage_mcse,bias,rmse,mean_M,mean_rhat
continuous,R2,0.0,ps_power_prior,1000,0.147,0.011197812286335219,0.865,0.010806248192596726,0.03269320845092456,0.1563689347958404,76.53730924717622,
continuous,R2,0.0,ps_uip_c,1000,0.082,0.008676174272108648,0.926,0.008277922444671728,0.008532863764763548,0.14332545694649804,38.64960066726491,
continuous,R2,0.0,standard_uip,1000,0.137,0.010873407929439602,0.905,0.009272270487857868,0.06878819949539497,0.14389158923315037,300.0,
continuous,R2,0.4,no_borrowing,1000,0.877,0.010386096475577337,0.949,0.006956938982052382,-0.003963271662769048,0.1406222024354625,0.0,
continuous,R2,0.4,pooling,1000,0.944,0.007270763371201131,0.962,0.006046155803483734,0.01540481528414151,0.12286254691696764,300.0,
continuous,R2,0.4,ps_power_prior,1000,0.934,0.007851369307324675,0.891,0.009854897259738428,0.025156469882166525,0.14607017232789843,76.54952961625966,
continuous,R2,0.4,ps_uip_c,1000,0.905,0.009272270487857868,0.933,0.007906389820898028,-0.003358379897772815,0.13641502183700843,38.26726376591688,
continuous,R2,0.4,standard_uip,1000,0.987,0.0035820385257559714,0.92,0.008579044235810886,0.05932514685430955,0.13658934905157,300.0,
continuous,S1,0.0,no_borrowing,1000,0.049,0.006826346021115542,0.941,0.007451107300260817,-0.0015003727191029734,0.1466650307638992,0.0,
continuous,S1,0.0,pooling,1000,0.0,0.0,0.01,0.003146426544510455,-0.47922300465924417,0.4921228274616277,300.0,
continuous,S1,0.0,ps_power_prior,1000,0.0,0.0,0.209,0.012857643641040918,-0.35069188730127304,0.37090897992771654,100.0,
continuous,S1,0.0,ps_uip_c,1000,0.05,0.006892024376045111,0.941,0.007451107300260817,-0.000947100512266704,0.146505620201882,0.0035998593520490067,
continuous,S1,0.0,standard_uip,1000,0.0,0.0,0.018,0.004204283529925164,-0.48102973472116956,0.4952695121040309,300.0,
continuous,S1,0.4,no_borrowing,1000,0.851,0.011260506205317771,0.947,0.007084560677981384,-0.00391846909651382,0.15200158066519476,0.0,
continuous,S1,0.4,pooling,1000,0.011,0.003298332912245215,0.015,0.003843826218756514,-0.4808946388791916,0.4949320130325332,300.0,
continuous,S1,0.4,ps_power_prior,1000,0.089,0.00900438781928011,0.208,0.0128349522788361,-0.3514526955956164,0.37316404063705183,100.0,
continuous,S1,0.4,ps_uip_c,1000,0.854,0.011166198995181844,0.941,0.007451107300260817,-0.003931670421531756,0.15209303656406115,0.030245544076954563,
continuous,S1,0.4,standard_uip,1000,0.009,0.002986469487538756,0.024,0.004839834707921336,-0.48325238299489043,0.49855531485579047,300.0,
continuous,S2,0.0,no_borrowing,1000,0.043,0.006414904519944158,0.947,0.007084560677981384,-0.0003732756452742385,0.14288993455182578,0.0,
continuous,S2,0.0,pooling,1000,0.64,0.015178932768808221,0.49,0.0158082257068907,0.290808203913986,0.32229049757952666,300.0,
continuous,S2,0.0,ps_power_prior,1000,0.446,0.01571890581433708,0.616,0.015379986996093333,0.21276173685673877,0.3036587607661595,28.08802187463134,
continuous,S2,0.0,ps_uip_c,1000,0.046,0.006624499981130651,0.947,0.007084560677981384,0.0015239966689290158,0.14350754631391643,1.8351507736716748,
continuous,S2,0.0,standard_uip,1000,0.717,0.014244683218660919,0.38,0.015349267083479915,0.30718632975224125,0.33617841665142795,300.0,
continuous,S2,0.4,no_borrowing,1000,0.875,0.010458250331675944,0.965,0.005811626278418119,0.000954489228792111,0.1424452098228699,0.0,
continuous,S2,0.4,pooling,1000,0.997,0.0017294507798720387,0.453,0.015741378592740853,0.29859326535845254,0.3266396363479875,300.0,
continuous,S2,0.4,ps_power_prior,1000,0.987,0.0035820385257559714,0.592,0.015541428505771277,0.22197973942180815,0.3082001872763948,28.424122869775537,
continuous,S2,0.4,ps_uip_c,1000,0.874,0.010493998284733994,0.958,0.006343185319695463,0.0028058316852570915,0.14259091005516922,1.6978974083933505,
continuous,S2,0.4,standard_uip,1000,0.999,0.0009994998749374613,0.378,0.015333492752794452,0.30778851236425064,0.33816873319361984,300.0,
continuous,S3,0.0,no_borrowing,1000,0.051,0.00695693898205238,0.945,0.007209368904418752,-0.002305959536659841,0.14410220881139765,0.0,
continuous,S3,0.0,pooling,1000,0.995,0.002230470802319547,0.016,0.003967870965643918,0.4745766066277488,0.4878383709377164,300.0,
continuous,S3,0.0,ps_power_prior,1000,0.865,0.010806248192596726,0.214,0.012969348480166612,0.3451210929389427,0.3654568428775229,100.0,
continuous,S3,0.0,ps_uip_c,1000,0.05,0.006892024376045111,0.95,0.006892024376045114,-0.002316067838245168,0.14405067469511468,0.15013602358078956,
continuous,S3,0.0,standard_uip,1000,0.99,0.003146426544510456,0.021,0.004534203347888138,0.4758443772425022,0.49021342854248967,300.0,
continuous,S3,0.4,no_borrowing,1000,0.877,0.010386096475577337,0.953,0.00669260786241059,0.00048143055803770164,0.1422907240806436,0.0,
continuous,S3,0.4,pooling,1000,1.0,0.0,0.018,0.004204283529925164,0.4747907078438909,0.487842208441829,300.0,
continuous,S3,0.4,ps_power_prior,1000,1.0,0.0,0.203,0.012719709116170857,0.34567821350439837,0.36526792653933693,100.0,
continuous,S3,0.4,ps_uip_c,1000,0.87,0.010634848376916336,0.954,0.006624499981130654,0.0008262481417037655,0.14232994757716352,0.030555339324327056,
continuous,S3,0.4,standard_uip,1000,1.0,0.0,0.021,0.004534203347888138,0.4746252077377725,0.4888388333041927,300.0,
