outcome,scenario,theta_true,method,R,decision,decision_mcse,coverage,coverage_mcse,bias,rmse,mean_M,mean_rhat
continuous,I,0.4,ps_sam,1000,0.956,0.006485676526007139,0.953,0.00669260786241059,0.00015219758290555064,0.11865090353155715,197.4584606165219,
continuous,I,0.4,ps_uip_c,1000,0.93,0.008068457101577721,0.928,0.00817410545564467,0.002720409508488194,0.1318446135371832,145.0626309664643,
continuous,I,0.4,ps_uip_psonly,1000,0.941,0.007451107300260817,0.928,0.00817410545564467,0.002753970834090593,0.12773794989659018,158.583485967128,
continuous,I,0.4,standard_uip,1000,0.963,0.005969170796685251,0.947,0.007084560677981384,-0.0004779407237662956,0.11729688325717515,300.0,
continuous,R1,0.0,no_borrowing,1000,0.048,0.006759881655768835,0.943,0.007331507348424336,-0.005455037761476248,0.14428806295281346,0.0,
continuous,R1,0.0,ps_power_prior,1000,0.12,0.010276186062932104,0.894,0.009734680272099335,0.03106550875207944,0.1489706504466187,80.33368671983833,
continuous,R1,0.0,ps_sam,1000,0.081,0.008627803892068943,0.934,0.007851369307324675,0.017369877733898816,0.13744232771889187,64.50313023639266,
continuous,R1,0.0,ps_uip_c,1000,0.063,0.007683163410991596,0.94,0.007509993342207438,-0.003019448505218718,0.1412914380401091,34.925340991908726,
continuous,R1,0.0,ps_uip_psonly,1000,0.065,0.007795832219846705,0.934,0.007851369307324675,0.00032763742592128287,0.13885997144517578,44.01070596894276,
continuous,R1,0.0,standard_uip,1000,0.127,0.010529529904036551,0.913,0.008912407082264588,0.06006380993121765,0.1398026588940544,300.0,
continuous,R1,0.4,no_borrowing,1000,0.87,0.010634848376916336,0.953,0.00669260786241059,0.0029463698913078213,0.14312813810240493,0.0,
continuous,R1,0.4,ps_power_prior,1000,0.939,0.007568289106528638,0.878,0.010349685985574635,0.03027600927516698,0.15541487705046328,79.74297050872809,
continuous,R1,0.4,ps_sam,1000,0.936,0.007739767438366605,0.92,0.008579044235810886,0.019791601597191885,0.13958211570240672,65.35954124576911,
continuous,R1,0.4,ps_uip_c,1000,0.907,0.009184280047995052,0.928,0.00817410545564467,0.004615107918028708,0.1407738825337835,34.58504644033462,
continuous,R1,0.4,ps_uip_psonly,1000,0.924,0.008379976133617564,0.928,0.00817410545564467,0.005943307455069398,0.13912320881110413,43.554156087299035,
continuous,R1,0.4,standard_uip,1000,0.98,0.0044271887242357325,0.919,0.008627803892068941,0.06270868451747774,0.1421093156738604,300.0,
continuous,R2,0.0,no_borrowing,1000,0.067,0.007906389820898032,0.944,0.007270763371201131,0.009547989165418314,0.14814217289194329,0.0,
continuous,R2,0.0,ps_power_prior,1000,0.141,0.011005407761641547,0.867,0.010738295954200556,0.032797456479814434,0.15633048248208944,76.53730924717622,
continuous,R2,0.0,ps_sam,1000,0.089,0.00900438781928011,0.92,0.008579044235810886,0.02177196721472318,0.13839671119647426,64.63838071546174,
continuous,R2,0.0,ps_uip_c,1000,0.082,0.008676174272108648,0.919,0.008627803892068941,0.008627999607161221,0.14334309117923688,38.64960066726491,
continuous,R2,0.0,ps_uip_psonly,1000,0.083,0.008724161850859944,0.927,0.008226238508577293,0.00910636620273911,0.1409644277847165,46.503060601827976,
continuous,R2,0.0,standard_uip,1000,0.136,0.010839926199010766,0.906,0.009228434320078352,0.06888554164590316,0.14434293188368996,300.0,
continuous,R2,0.4,no_borrowing,1000,0.877,0.010386096475577337,0.949,0.006956938982052382,-0.003963271662769048,0.1406222024354625,0.0,
continuous,R2,0.4,ps_power_prior,1000,0.934,0.007851369307324675,0.891,0.009854897259738428,0.024706353077013014,0.14598476529503024,76.54952961625966,
continuous,R2,0.4,ps_sam,1000,0.938,0.00762600813007697,0.94,0.007509993342207438,0.011460746798446867,0.13233317187345278,64.6676581931235,
continuous,R2,0.4,ps_uip_c,1000,0.907,0.009184280047995052,0.934,0.007851369307324675,-0.0033640281095522985,0.13660539758434068,38.26726376591688,
continuous,R2,0.4,ps_uip_psonly,1000,0.918,0.008676174272108645,0.931,0.008014923580421711,-0.001290570489031481,0.1340549259443199,46.29945059169663,
continuous,R2,0.4,standard_uip,1000,0.988,0.003443254274665176,0.92,0.008579044235810886,0.05965099580724633,0.13676353667438831,300.0,
continuous,S1,0.0,no_borrowing,1000,0.049,0.006826346021115542,0.941,0.007451107300260817,-0.0015003727191029734,0.1466650307638992,0.0,
continuous,S1,0.0,ps_power_prior,1000,0.0,0.0,0.199,0.012625331678811452,-0.35039614713269474,0.37073111153570065,100.0,
continuous,S1,0.0,ps_sam,1000,0.05,0.006892024376045111,0.939,0.007568289106528638,-0.0041883383229541086,0.15222569737239194,2.300211012197475,
continuous,S1,0.0,ps_uip_c,1000,0.048,0.006759881655768835,0.937,0.007683163410991592,-0.001153077194686236,0.1464704113962913,0.0035998593520490067,
continuous,S1,0.0,ps_uip_psonly,1000,0.049,0.006826346021115542,0.926,0.008277922444671728,-0.009121268324149669,0.15277344636976573,6.741002496352643,
continuous,S1,0.0,standard_uip,1000,0.0,0.0,0.014,0.003715373467095872,-0.4809037047843042,0.49510295116997,300.0,
continuous,S1,0.4,no_borrowing,1000,0.851,0.011260506205317771,0.947,0.007084560677981384,-0.00391846909651382,0.15200158066519476,0.0,
continuous,S1,0.4,ps_power_prior,1000,0.094,0.009228434320078352,0.202,0.012696298673235441,-0.35144537003460946,0.3731919193774627,100.0,
